id_techo;tipo_edificio;tipo_techo;edificio;tipo_sistema;capacidad;caracteristicas;generacion_anual_de_energia;huella_de_carbono_anual_evidata;calle;barrio;comuna
421;Privado;Solar Fotovoltaico;Cercha Solar San Telmo;On-Grid;4500 Watts;El edificio dispone de 10 paneles de Silicio Monocristalino  de 450 Watts cada uno montado sobre una pérgola con una inclinación de 0Â°, a su vez los paneles estan conectados a un inversor On-Grid de 5 kilowatts de la marca Growatt.;6980;3.23;;;
422;Privado;Solar Fotovoltaico;PH Palermo Híbrido;Off-Grid;2200 Watts;La instalación cuenta con 4 paneles de Silicio monocristalino de la marca Amerisolar de 550 Watts cada uno ubicados en la terraza del departamento, conectado a un inversor Híbrido Growatt SPF 5000ES a su vez carga una Batería de Ion-Litio de 4,5 kWh;3410;1.58;Av. San Juan;SAN TELMO;Comuna 1
423;Privado;Solar Fotovoltaico;El Solar Shopping;On-Grid;49500 Watts;El Solar Shopping tiene en sus techos una instalación Fotovoltaica de 49,5 kwp de potencia con módulos de 550 Watts cada uno, orientados de diferentes formas. Su conjunto es conectado a un inversor Goodwe de 36 kVA.;76790;35.48;;;
424;Privado;Solar Fotovoltaico;Villa Devoto- Híbrido;On-Grid;2760 Watts;En este domicilio tienen en uno de sus techos una instalación Fotovoltaica de 2760 Watts de potencia gracias a los 6 paneles monocristalinos de 460 Watts cada uno, mediante un inversor híbrido cargan 2 baterías de litio de una capacidad cada una de 2400 Wh.;4280;1.98;;;
425;Privado;Solar Térmico;Edificio Conde ST;;1000 litros;El edificio de la calle Conde posee en su terraza 5 colectores de tubos de vacío con una capacidad c/u de 200 litros.;1910;8.83;;;
426;Privado;Solar Térmico;Edificio HIT 8;;600 Litros;El edificio HIT 8 posee en su terraza 3 colectores solares con tubos de vacío, con capacidad cada uno de 200 litros.;1146;5.3;;;
427;Privado;Solar Fotovoltaico;SOLYTEC;On-Grid;11520 Watts;La instalación dispone de 36 paneles de Silicio monocristalino de 320 Watts cada uno, conectado a 2 inversores Híbridos de 5 kW.;17870;8.26;;;
428;Público;Solar Térmico;Centro de día Padre Mujica;;900 Litros;El centro de rehabilitación posee en su terraza 3 colectores solares termosifónicos con una capacidad cada uno de 300 litros.;1719;7.94;;;
429;Privado;Solar Fotovoltaico;Shell Rojo y Amarillo SRL;On-Grid;16320 Watts;La estación de servicio Shell, tiene sobre el techo de playa la cantidad de 102 paneles de Silicio Policristalino con capacidad cada uno de 160 Watts.;25320;11.7;;;
430;Privado;Solar Fotovoltaico;Restaurante Campo Argentino de Polo;On-Grid;1100 Watts;Sobre una pérgola dentro del Restaurante se ubica una instalación fotovoltaica de 2 paneles solares de Silicio Monocristalino con capacidad cada uno de 550 Watts de la marca Jinko Solar, conectados a un Micro inversor Deye de 2000 Watts.;1710;0.79;;;
431;Privado;Solar Fotovoltaico;Transportes Mazzola;On-Grid;9720 Watts;La empresa logística integra en el techo de sus galpones una instalación solar fotovoltaica, compuesta de 40 paneles de Silicio Policristalino con una potencia cada uno de 245 Watts.;15080;6.97;;;
432;Privado;Solar Fotovoltaico;Solution Box;On-Grid;79570 Watts;La empresa de soluciones informáticas posee sobre sus techos 218 paneles fotovoltaicos de una potencia cada uno de 365 Watts.;123430;57.04;;;
433;Privado;Solar Fotovoltaico;Jotatec SRL;On-Grid;4500 Watts;La empresa de equipamiento médico posee en su techo una instalación de 12 paneles solares con una potencia cada uno de 375 Watts.;6980;3.23;;;
434;Privado;Solar Fotovoltaico;Torcuato Tasso;On-Grid;11800 Watts;Este edificio de espectáculos en vivo, tiene en su terraza una instalación de 11800 Watts que reducen el consumo e inyectan su excedente a la red eléctrica pública.;18300;8.46;;;
435;Privado;Solar Fotovoltaico;Sede CNEA Libertador;On-Grid;24920 Watts;La sede de la Comisión Nacional de Energía Atómica posee en su terraza una instalación de 56 paneles fotovoltaicos de Silicio Monocristalino de una potencia cada uno de 445 Watts de la marca Amerisolar orientados al noroeste con una inclinación de 10Â°. El conjunto de paneles esta conectado a un Inversor On-Grid SMA trifásico de 20000 Watts.;38660;17.86;;;
436;Privado;Solar Fotovoltaico;Supervielle Suc. 205 Caballito;On-Grid;5200 Watts;La sucursal del banco Supervielle posee en su techo la cantidad de 16 paneles solares policristalinos;8070;3.73;;;
437;Privado;Solar Fotovoltaico;Particular 23- Saavedra;On-Grid;3000 Watts;El domicilio particular posee una instalación Fotovoltaica con 2 tipos de tecnologías de paneles fotovoltaicos. 7 Policristalino de 275 Watts y 2 Monocristalinos de 550 Watts. Dichos paneles estan conectados a un inversor Híbrido de 5 KVA;4650;2.15;;;
438;Privado;Solar Fotovoltaico;Particular 24- Saavedra;On-Grid;2200 Watts;La instalación particular posee 8 paneles solares de 275 Watts cada uno de silicio policristalino ubicados sobre su techo con una inclinación de 15Â° orientados al noroeste. Dichos paneles están conectados a un inversor On-Grid SMA de 1500 Watts.;3410;1.58;;;
439;Privado;Solar Fotovoltaico;AMAP (Asociación de Médicos de la Actividad Privada);On-Grid;15000 Watts;;2327;10.75;;;
440;Privado;Solar Fotovoltaico;Pintureria Rosmar Floresta;On-Grid;8900 Watts;;1381;6.38;;;
441;Público;Solar Fotovoltaico;Escuela NÂ° 8 D.E. 6 - Almafuerte;On-Grid;26700 Watts;La escuela posee en su terraza una instalación fotovoltaica con 72 paneles de 370 Watts de Silicio Monocristalino conectados a 1 inversor On-Grid Schneider Electric Conext CL36 Trifásico.;4142;19.14;;;
442;Privado;Solar Fotovoltaico;Particular 25- Boedo;On-Grid;3240 Watts;El edificio posee en su terraza una instalación solar fotovoltaica de 12 paneles de silicio policristalino con una potencia cada uno de 270 Watts.;5030;2.32;;;
443;Privado;Solar Fotovoltaico;BA Energy Solutions;On-Grid;10200 Watts;El edificio posee en su terraza una instalación solar fotovoltaica con 34 paneles de Silicio Policristalino de 300 Watts cada uno Orientados al noroeste con una inclinación de 30Â°;1582;7.31;;;
444;Privado;Solar Fotovoltaico;QMAX SRL;On-Grid;8000 Watts;La empresa fabricante de artículos electrónicos posee en su terraza 36 paneles de Silicio Policristalinos de una potencia cada uno de 220 Watts.;1229;5.68;;;
445;Privado;Solar Fotovoltaico;LC TECH;On-Grid;44830 Watts;;69540;32.14;;;
446;Privado;Solar Fotovoltaico;Acrilicos Mesch;On-Grid;23220 Watts;La instalación dispone de 2 inversores, 1 Ongrid trifásico de 15kW y el otro híbrido trifásico de 8 kW, conectados a los 23 kW de paneles fotovoltaicos alojados en los diferentes techos de la fábrica generarán el equivalente al 100% del consumo anual de la empresa. Además, conectados a un banco de 4 baterías de litio el sistema dará backup.;36020;16.64;;;
447;Privado;Solar Fotovoltaico;Fabart SRL;On-Grid;6500 Watts;La cervecería Filidoro usa parte de su energía para elaborar sus productos gracias a los 20 paneles solares de silicio policristalino de 325 Watts cada uno.;10000;4.66;Yeruá;PATERNAL;Comuna 15
448;Privado;Solar Fotovoltaico;Vivienda particular;On-Grid;1580 Watts;La instalación particular dispone de 4 paneles de silicio Monocristalinos de 400 Watts cada uno.;2450;1.13;;;
449;Privado;Solar Fotovoltaico;Loop;On-Grid;18400 Watts;El edificio perteneciente al Grupo Tueroc posee en su terraza una instalación fotovoltaica de 40 paneles de silicio monocristalinos de 460 Watts cada uno.;28540;13.19;;;
450;Privado;Solar Fotovoltaico;Florean Niceto;On-Grid;16800 Watts;El edificio Florean Niceto tiene en su terraza una instalación fotovoltaica de 28 paneles de Silicio Monocristalino de 600 Watts Amerisolar, conectados a un inversor trifásico Growatt de 15 kiloWatts On-Grid.;26060;12.04;;;
451;Privado;Solar Fotovoltaico;OSDE;On-Grid;46400 Watts;El centro médico OSDE sede Parque Patricios posee en 2 de sus terrazas 116 paneles solares de silicio monocristalinos con una potencia cada uno de 400 Watts orientados al norte con un ángulo de inclinación de 15Â°. Los mismos estan conectados a 3 inversores On-Grid SMA;;;;;
452;Privado;Solar Fotovoltaico;Glenny Corp S.A;On-Grid;6600 Watts;El edificio dispone de 20 paneles de 330 Watts de potencia que son conectados a un inversor OnGrid.;1024;4.73;;;
453;Privado;Solar Térmico;Particular 26- Villa Urquiza;;200 litros;El domicilio tiene en su terraza un colector solar de tubos de vacio de 200 litros de capacidad.;3820;1.02;;;
454;Privado;Solar Térmico;Particular 27- Villa Urquiza;;200 litros;En la terraza del edificio dispone de un colector solar con tubos de vacío con un termotanque de 200 litros.;3820;1.02;;;
455;Privado;Solar Fotovoltaico;Particular 28- Calle Palpa;On-Grid;2520 Watts;En el techo del domicilio dispone de 9 paneles de 280 Watts de Silicio Policristalino de la marca Amerisolar, dispuesto a 35Â° de inclinación, conectados a un inversor On-Grid Growatt 3000S.;3910;1.81;;;
456;Privado;Solar Fotovoltaico;Particular 29- Calle Dr Victorino de la Plaza;On-Grid;5600 Watts;El edificio dispone de 20 paneles solares de 280 watts de Silicio Policristalino de la marca Amerisolar conectados a un inversor de 6000 watts On-Grid de la marca Goodwe.;8690;4.01;;;
457;Privado;Solar Térmico;Particular 30- Villa Urquiza;;1400 Watts;Sistema de tubos evacuados con una capacidad de 200 litros ubicados en el techo del domicilio.;3820;0.91;;;
458;Privado;Solar Térmico;Particular 31- Belgrano;;1400 Watts;Colector de tubos evacuados Peabody PE-TS200K con una capacidad de 200 litros, instalado sobre una pequeña losa en la vivienda.;3820;0.91;Dr. Rómulo Naón;;
459;Privado;Solar Fotovoltaico;Instituto Inmaculada Concepción;On-Grid;44000 Watts;El colegio dispone de 92 paneles de silicio monocristalinos de una potencia c/u de 480 Watts sobre diferentes zonas de los techos del colegio. A su vez son Usuarios Generadores pudiendo utilizar la energia generada pero también inyectandola a la red pública, reduciendo su consumo energético.;6826;23.45;Carlos Calvo;CONSTITUCION;Comuna 1
460;Privado;Solar Fotovoltaico;Bartolomé Bazar;On-Grid;13950 Watts;El paseo de compras Bartolomé tiene en su terraza 45 módulos fotovoltaicos de 310 Watts cada uno. A su vez son Generadores de energía distribuida lo que los hace no solamente auto consumidores sino también pueden vender su energía a la compañia distribuidora eléctrica.;2164;7.43;Av. Caseros;PARQUE PATRICIOS;Comuna 4
461;Privado;Solar Fotovoltaico;BBVA Parque Chacabuco;On-Grid;10000 Watts;;15510;5.33;Av. Asamblea;PARQUE CHACABUCO;Comuna 7
462;Privado;Solar Fotovoltaico;Edificio Prometeo FV;On-Grid;2820 Watts;El edificio cuenta con 12 paneles de 235 watts de potencia instalados en su techo que a su vez pueden inyectar energia exedente a la red siendo Usuarios Generadores.;4370;1.5;Pasaje Prometeo;COGHLAN;Comuna 12
463;Privado;Solar Térmico;Prometeo ST;;600 Litros;El edificio dispone en su terraza de 2 sistemas solares térmicos de tubos evacuados con capacidad de 300 litros c/u.;11460;2.72;Pasaje Prometeo;COGHLAN;Comuna 12
464;Privado;Solar Térmico;Particular 32- Belgrano;;600 Litros;El edificio dispone en su terraza de 2 colectores solares de 300 litros c/u de tecnología de tubos evacuados.;11460;3.94;14 de Julio;VILLA ORTUZAR;Comuna 15
465;Privado;Solar Fotovoltaico;Particular 33;On-Grid;3400 Watts;La instalación fotovoltaica está ubicada sobre el techo del domicilio y dispone de 6 paneles solares de 570 Watts con tecnología de Silicio monocristalino de la marca Trina Solar, conectado a un inversor On grid de la marca Growatt de una potencia de 5000 Watts.;5270;1.81;Chivilcoy;VILLA DEVOTO;Comuna 11
466;Privado;Solar Térmico;Particular 34;;250 Litros;La instalación dispone de un colector de tubos de vacio con la tecnologia heat pipe de una capacidad total de 250 litros.;4780;1.64;Pedro Calderon de la Barca;MONTE CASTRO;Comuna 10
467;Privado;Solar Fotovoltaico;Embajada de Brasil;On-Grid;40.000 Watts;El edificio posee sobre su techo una instalación fotovoltaica de 63 paneles de Silicio monocristalinos de 575 W c/u de la marca Jinko Solar conectados a un inversor On Grid Trifásico de 30 kiloWatts de la marca Growatt.;62050;21.31;Cerrito;RETIRO;Comuna 1
468;Privado;Solar Fotovoltaico;PH ECO 6;On-Grid;2200 Watts;El edificio residencial posee en su terraza una instalación con 5 paneles solares de silicio monocristalinos de la marca Jinko Solar de 440 W c/u conectados a un inversor On-Grid de 1500 Watts de la empresa SMA. El edificio es Usuario Generador pudiendo consumir su propia energía e inyectando su excedente (si lo fuera) a la red eléctrica pública.;3410;1.17;Godoy Cruz;PALERMO;Comuna 14
469;Privado;Solar Fotovoltaico;Hotel Bromelia;On-Grid;3600 Watts;El Hotel Boutique tiene en su terraza una instalación Solar Fotovoltaica de 8 paneles de Silicio monocristalinos de 450 Watts cada uno.;5580;1.92;Honduras;PALERMO;Comuna 14
470;Público;Solar Térmico;Sede Comunal NÂ°12;;400 Litros;La sede comunal nÂ°12  dispone sobre sus techos 2 Sistemas solares térmicos con capacidad cada uno de 200 litros de la marca PEISA modelo A200;7640;2.62;Holmberg;VILLA URQUIZA;Comuna 12
471;Privado;Solar Fotovoltaico;MAREA-PEM;On-Grid;3680 Watts;El edificio dispone en su terraza una instalación solar fotovoltaica con 8 paneles de una potencia individual de 460 Watts monocristalinos de la marca Amerisolar conectados a un inversor trifásico Ongrid de la marca Growatt modelo 5000TL3-X.;5710;1.96;Chivilcoy;FLORESTA;Comuna 10
472;Privado;Solar Fotovoltaico;Particular 26;On-Grid;5400 Watts;El domicilio particular tiene una instalación solar fotovoltaica de 12 paneles solares de silicio monocristalino de una potencia c/u de 450 Watts, conectados a un inversor hibrido trifásico Deye (UN-6K-G06P3-EU-AM) de 6 kW.;8380;2.88;Manuel Ricardo Trelles;JOA;Comuna 11
473;Privado;Solar Térmico;PROBAIRES;;200 litros;El edificio posee una instalación solar térmica de tubos de vacío tipo heat pipe con una capacidad de 200 litros utilizados para el ACS.;3820;1.31;Güemes;PALERMO;Comuna 14
474;Privado;Solar Fotovoltaico;Particular 37;On-Grid;5400 Watts;Sobre el techo del domicilio dispone de una instalación solar fotovoltaica de 12 paneles solares de 450 Watts Amerisolar (AS-7M120-HC-450), conectados a un inversor OnGrid monofásico Growatt de 5 kW de potencia.;8380;2.88;Juana Azurduy;NUÑEZ;Comuna 13
475;Privado;Solar Fotovoltaico;Particular 38;On-Grid;5400 Watts;La propiedad particular dispone en su techo una instalación solar fotovoltaica de 12 paneles solares de silicio monocristalinos de una potencia c/u de 450 Watts, conectados a un inversor On-Grid Growatt (SPF5000ES) DE 5 kW.;8380;2.88;Habana;VILLA DEVOTO;Comuna 11
476;Privado;Solar Fotovoltaico;LASER Argentina S.A;On-Grid;110.000 Watts;La empresa Laser Argentina dispone en su techo una instalación solar fotovoltaica de unos 180 paneles con una potencia cada uno de 600 Watts, conectados a un inversor On-Grid.;170640;58.61;José León Suárez;MATADEROS;Comuna 9
477;Privado;Solar Térmico;Particular 39;;200 litros;El domicilio particular dispone en su terraza una instalación solar térmica de 20 tubos evacuados para el ACS.;3820;1.31;14 de Julio;VILLA ORTUZAR;Comuna 15
