ANIO;TEMPORADA;OBRA;OBRA_OBSERVACION;ASISTENTES;FECHA;HORA;OBSERVACIONES_FECHA
2011;FUERA DE PROGRAMACION;ORQUESTA ACADEMICA DEL ISA Y CORO DE NINIOS/GRATUITA;;2028;03/07/2011; 11:00 hs;
2011;FUERA DE PROGRAMACION;CAMERATA BARILOCHE/GRATUITA;;2028;26/07/2011; 11:00 hs;
2011;FUERA DE PROGRAMACION;CAMERATA BARILOCHE/GRATUITA;;2028;27/07/2011; 11:00 hs;
2011;FUERA DE PROGRAMACION;CICLO PIANISTAS ARGENTINOS/SECRETOS DE FAMILIA;;1886;19/11/2011; 20:30 hs;
2011;FUERA DE PROGRAMACION;PROGRAMA VALORES PREMIACION MASIVA;;2629;30/11/2011; 16:00 hs;
2011;FUERA DE PROGRAMACION;ASUNCION DE AUTORIDADES GCBA/CAMERATA BARILOCHE;;2237;09/12/2011; 16:00 hs;
2012;TEMPORADA DE VERANO;ORQUESTA FILARMONICA DE BUENOS AIRES;ORQUESTA FILARMONICA DE BS AS/GRATUITA/SIN BORDEREAUX;;31/03/2012; 20:00 hs;
2012;TEMPORADA DE VERANO;ORQUESTA FILARMONICA DE BUENOS AIRES;ORQUESTA FILARMONICA DE BS AS/GRATUITA/SIN BORDEREAUX;;10/03/2012; 20:00 hs;
2012;TEMPORADA LIRICA;"PRIMER TITULO ""LA PASION SEGUN SAN MARCO""";LA PASION SEGUN SAN MARCO;1795;14/03/2012; 20:30 hs;GA 
2012;TEMPORADA LIRICA;"PRIMER TITULO ""LA PASION SEGUN SAN MARCO""";LA PASION SEGUN SAN MARCO;1981;15/03/2012; 20:30 hs;AN
2012;TEMPORADA LIRICA;"PRIMER TITULO ""LA PASION SEGUN SAN MARCO""";LA PASION SEGUN SAN MARCO;2136;17/03/2012; 20:30 hs;ANN
2012;TEMPORADA LIRICA;"PRIMER TITULO ""LA PASION SEGUN SAN MARCO""";LA PASION SEGUN SAN MARCO;2230;18/03/2012;17:00 hs;AV
2012;TEMPORADA LIRICA;"SEGUNDO TITULO "" LA FORZA DEL DESTINO""";LA FORZA DEL DESTINO;2362;22/04/2012;17:00 hs;AV 
2012;TEMPORADA LIRICA;"SEGUNDO TITULO "" LA FORZA DEL DESTINO""";LA FORZA DEL DESTINO;2058;24/04/2012; 20:00 hs;GA
2012;TEMPORADA LIRICA;"SEGUNDO TITULO "" LA FORZA DEL DESTINO""";LA FORZA DEL DESTINO;2230;26/04/2012; 20:00 hs;ANT 
2012;TEMPORADA LIRICA;"SEGUNDO TITULO "" LA FORZA DEL DESTINO""";LA FORZA DEL DESTINO;2482;28/04/2012; 20:00 hs;ANN
2012;TEMPORADA LIRICA;"SEGUNDO TITULO "" LA FORZA DEL DESTINO""";LA FORZA DEL DESTINO;1720;02/05/2012; 20:00 hs;EXT
2012;TEMPORADA LIRICA;"SEGUNDO TITULO "" LA FORZA DEL DESTINO""";LA FORZA DEL DESTINO;2262;04/05/2012; 20:00 hs;EXT
