medicion;fecha;med_id_bolsa;comuna;direccion_contenedor;latitud;longitud;peso_neto_kg;origen;clasificacion;1_s1;2_s1;3_s1;4_s1;5_s1;6_s1;7_s2;8_s2;9_s2;10_s2;11_s2;12_s3;13_s3;14_s3;suma
2022-M3;2022-12-02;22m3-1160;12;Plaza 2344;-3456967926;-58,47500992;1.335;Residencial;No Separa;3;0;0;0;4;0;0;0;0;1;0;0;0;0;8
2022-M3;2022-12-02;22m3-1159;12;Donado 2767;-3456702042;-58,48038101;3.305;Residencial;No Separa;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2
2022-M3;2022-12-02;22m3-1157;12;La Gloria 1958;-3458256149;-58,48897171;1.235;Residencial;Separa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-M3;2022-12-06;22m3-2167;15;Artigas, Jose Gervasio, Gral. 3686;-34590215;-58,4906404;1.67;Residencial;No Separa;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2
2022-M3;2022-12-06;22m3-1179;15;Maturin 2547;-3459954071;-58,46384811;0.88;Residencial;No Separa;0;0;1;0;2;0;0;0;0;0;0;0;0;0;3
2022-M3;2022-12-06;22m3-2180;15;Alvarez, Donato, Tte. Gral. Av. 2130;-346015788;-58,4645173;1.145;Residencial;No Separa;0;0;2;0;0;2;0;0;0;0;0;0;0;0;4
2022-M3;2022-12-06;22m3-1183;15;Belaustegui, Luis, Dr. 540;-346006074;-58,4513946;1.54;Residencial;No Separa;1;0;0;0;0;0;0;0;0;0;1;0;1;0;3
2022-M3;2022-12-12;22m3-1283;1;Cevallos, Virrey 629;-3461569086;-58,3891937;1.995;Residencial;No Separa;1;0;0;0;0;1;0;1;0;0;0;0;0;0;3
2022-M3;2022-12-12;22m3-1266;1;Estados Unidos 1532;-346186628;-58,38801726;1.305;Residencial;No Separa;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2
2022-M3;2022-12-15;22m3-1245;7;Bonorino, Esteban, Cnel. Av. 1250;-3464009094;-58,45192719;1.865;Residencial;No Separa;1;0;0;0;2;0;0;0;0;0;0;0;1;0;4
2022-M3;2022-12-15;22m3-1218;6;Goyena, Pedro Av. 1634;-346268251;-58,45094027;0.975;Residencial;No Separa;1;0;0;0;0;0;0;0;1;0;0;1;0;0;3
2022-M3;2022-12-15;22m3-1241;7;Alberdi, Juan Bautista Av. 2357;-34630221;-58,46104167;1.3;Residencial;No Separa;0;0;2;0;0;1;0;1;0;0;0;0;0;0;4
2022-M3;2022-12-15;22m3-1243;7;Directorio Av. 2581;-34632979;-58,463495;1.405;Residencial;No Separa;0;0;1;0;2;0;0;0;0;0;0;0;3;1;7
2022-M3;2022-12-15;22m3-2200;5;Humahuaca 3934;-3460190964;-58,42035675;0.925;Residencial;No Separa;0;0;1;0;1;0;0;0;0;0;0;1;0;0;3
2022-M3;2022-12-15;22m3-2193;5;Colombres 450;-346169281;-58,41829681;0.94;Residencial;No Separa;0;0;0;0;0;0;0;2;0;0;0;1;0;2;5
2022-M3;2022-12-15;22m3-1212;5;Pavon Av. 4335;-3462938667;-58,42440724;2.13;Residencial;No Separa;0;0;0;1;1;0;0;0;0;0;1;0;0;0;3
2022-M3;2022-12-15;22m3-1206;5;Liniers Virrey 822;-3462009048;-58,41391754;1.375;Residencial;No Separa;1;0;0;0;0;0;0;0;1;1;0;0;0;0;3
2022-M3;2022-12-16;22m3-1297;1;Cochabamba 231;-346223222;-58,36890513;2.355;Residencial;No Separa;1;0;0;0;1;1;0;0;0;0;0;0;0;0;3
2022-M3;2022-12-16;22m3-1292;1;Juncal 773;-345929718;-58,37792969;1.065;Residencial;No Separa;0;0;1;0;2;0;0;0;0;0;0;0;0;0;3
2022-M3;2022-12-22;22m3-1372;14;Honduras 4969;-3458958817;-58,42873764;4.455;Residencial;No Separa;1;0;1;0;0;0;0;0;0;0;0;1;0;0;3
2022-M3;2022-12-22;22m3-1380;14;Vega, Niceto, Cnel. 5254;-3458927917;-58,43566895;1.93;Residencial;Separa;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
