nombre_evento,tipo_evento,fecha_inicio,fecha_finalizacion
12th ACRE Meeting--(que se hace a continuación de 2nd C3S Data Rescue Service Capacity Building Workshop y siguen la misma rotación),CONGRESOS Y CONVENCIONES,2019-04-11,2019-04-12
Jornadas Estadounidenses y Latinas de Hematología,CONGRESOS Y CONVENCIONES,2019-04-11,2019-04-12
Jornadas Nacionales Cannabis Medicina Legal y Defensa Legal,CONGRESOS Y CONVENCIONES,2019-04-11,2019-04-12
6º Simposio Internacional Del sur al mundo en 2030,CONGRESOS Y CONVENCIONES,2019-04-11,2019-04-12
10º Simposio Más Allá de las Fronteras del Intervencionismo Cardiovascular,CONGRESOS Y CONVENCIONES,2019-04-11,2019-04-12
17º Congreso de la Asociación Argentina de Traumatología del Deporte,CONGRESOS Y CONVENCIONES,2019-04-11,2019-04-12
Simposio Internacional Avances en Urología 2019,CONGRESOS Y CONVENCIONES,2019-04-11,2019-04-12
Jornada Art Nouveau y Art Deco,CONGRESOS Y CONVENCIONES,2019-04-11,2019-04-11
6ª Jornada de Medicina Narrativa,CONGRESOS Y CONVENCIONES,2019-04-11,2019-04-11
"15ª Jornada de Trabajo Ingeniería, IT & Sistemas",CONGRESOS Y CONVENCIONES,2019-04-11,2019-04-11
Encuentro Argentino - Venezolano de Ciencias Económicas,CONGRESOS Y CONVENCIONES,2019-04-12,2019-04-12
12ª Conferencia Internacional sobre avances en Epoc,CONGRESOS Y CONVENCIONES,2019-04-12,2019-04-12
Expo Gatos 2019,FERIAS Y EXPOSICIONES,2019-04-13,2019-04-14
NSConf,CONGRESOS Y CONVENCIONES,2019-04-13,2019-04-13
2ª Jornadas de Traducción Especializada,CONGRESOS Y CONVENCIONES,2019-04-13,2019-04-13
29º Congreso Argentino de Medicina Estética,CONGRESOS Y CONVENCIONES,2019-04-15,2019-04-16
Simposio Multidisciplinario de Cáncer de Mama,CONGRESOS Y CONVENCIONES,2019-04-15,2019-04-15
Feria de Estudios en el Exterior - Eduexpos,FERIAS Y EXPOSICIONES,2019-04-15,2019-04-15
Seminario Internacional de Logística para eCommerce,CONGRESOS Y CONVENCIONES,2019-04-16,2019-04-17
Workshop – Gestión de Riesgos de TI,CONGRESOS Y CONVENCIONES,2019-04-17,2019-04-19
12° Seminario Pymes Buenos Aires,CONGRESOS Y CONVENCIONES,2019-04-17,2019-04-17
2º Congreso Universitario de Formación en Traducción e Interpretación,CONGRESOS Y CONVENCIONES,2019-04-22,2019-04-24
