nombre_evento,tipo_evento,fecha_inicio,fecha_finalizacion
"4ª Jornadas Internacionales de Ficcionalización y Narración en la Antigüedad, el Tardoantiguo y el Medioevo",CONGRESOS Y CONVENCIONES,2019-11-27,2019-11-29
56º Congreso Argentino de Ortopedia y Traumatología,CONGRESOS Y CONVENCIONES,2019-11-28,2019-12-01
"Simposio Panamericano de Enfermedad Celíaca, Jornadas de Actualización en Patologías Intestinales",CONGRESOS Y CONVENCIONES,2019-11-28,2019-11-28
Matear 2019,FERIAS Y EXPOSICIONES,2019-11-29,2019-12-01
Simposio de In VITRO Buenos Aires,CONGRESOS Y CONVENCIONES,2019-11-29,2019-11-29
Jornadas Anuales de la EOL,CONGRESOS Y CONVENCIONES,2019-11-30,2019-12-01
7º Encuentro Nacional de Catalogadores,CONGRESOS Y CONVENCIONES,2019-12-02,2019-12-04
IV Congreso ALAM Asociación Latinoamericana de Microcirugía,CONGRESOS Y CONVENCIONES,2019-12-04,2019-12-06
Expo Tortas 2019,FERIAS Y EXPOSICIONES,2019-12-06,2019-12-08
Simposio Internacional Obstetricia Crítica,CONGRESOS Y CONVENCIONES,2019-12-09,2019-12-10
Conferencia Interamericana y del Caribe de Personas Intersex,CONGRESOS Y CONVENCIONES,2020-03-02 00:00:00,2020-05-02 00:00:00
"2nd SDEWES LA Conference - Conferencia Latinoamericana Desarrollo Sostenible de los Sistemas de Energía, Agua y Medio Ambiente",CONGRESOS Y CONVENCIONES,2020-09-02 00:00:00,2020-12-02 00:00:00
International Conference for Teachers of English and Coordinators,CONGRESOS Y CONVENCIONES,2020-02-14 00:00:00,2020-02-15 00:00:00
63º Congreso Nacional para Docentes de Idioma Japonés,CONGRESOS Y CONVENCIONES,2020-02-14 00:00:00,2020-02-16 00:00:00
Buenos Aires Players Annual Event,CONGRESOS Y CONVENCIONES,2020-02-15 00:00:00,2020-02-15 00:00:00
3ª Feria Inmobiliaria: Ubicarte,FERIAS Y EXPOSICIONES,2020-02-15 00:00:00,2020-02-15 00:00:00
MABYN - Expo de Moda Infantil,FERIAS Y EXPOSICIONES,2020-02-15 00:00:00,2020-02-16 00:00:00
Workshop Seguridad Urbana y Prevención del Delito,FERIAS Y EXPOSICIONES,2020-02-17 00:00:00,2020-02-19 00:00:00
2020 Teaching the Next Generation of Scientists: Professional Workshop for Argentine Teachers of STEAM,CONGRESOS Y CONVENCIONES,2020-02-17 00:00:00,2020-02-21 00:00:00
"Encuentro de Evangelización, Enseñanza Religiosa y Catequesis",CONGRESOS Y CONVENCIONES,2020-02-20 00:00:00,2020-02-21 00:00:00
64° Jornada Federal de Gestión Educativa,CONGRESOS Y CONVENCIONES,2020-02-21 00:00:00,2020-02-21 00:00:00
Encuentro Casa Abierta,CONGRESOS Y CONVENCIONES,2020-02-21 00:00:00,2020-02-22 00:00:00
"1° Congreso Latinoamericano de Visión Holística
",CONGRESOS Y CONVENCIONES,2020-02-22 00:00:00,2020-02-25 00:00:00
Workshop Soñando Febrero,FERIAS Y EXPOSICIONES,2020-02-24 00:00:00,2020-02-29 00:00:00
"EAMTA 2020 14° Argentine School of Micro Nanoelectronics, Technology and Applications",CONGRESOS Y CONVENCIONES,2020-02-24 00:00:00,2020-02-28 00:00:00
"EGR Power LatAm Summit 2020
",CONGRESOS Y CONVENCIONES,2020-02-26 00:00:00,2020-02-27 00:00:00
Reunión Internacional Anti Robots Asesinos,CONGRESOS Y CONVENCIONES,2020-02-26 00:00:00,2020-02-28 00:00:00
ICIT 2020 18º IEEE International Conference on Industrial Technology,CONGRESOS Y CONVENCIONES,2020-02-26 00:00:00,2020-02-28 00:00:00
Encuentro Regional de Alineamiento Conosur Exterior,CONGRESOS Y CONVENCIONES,2020-02-27 00:00:00,2020-02-29 00:00:00
2nd Argentine Conference on Electronics CAE 2020 en el marco de EAMTA 2020,CONGRESOS Y CONVENCIONES,2020-02-27 00:00:00,2020-02-28 00:00:00
Encuentro Internacional de Herreros y Herreras,CONGRESOS Y CONVENCIONES,2020-02-27 00:00:00,2020-01-03 00:00:00
Congreso Tendencias Escénicas,CONGRESOS Y CONVENCIONES,2020-02-27 00:00:00,2020-02-28 00:00:00
Open Workshops Summer MBA,FERIAS Y EXPOSICIONES,2020-02-03 00:00:00,2020-05-03 00:00:00
Seminario CAF Desafíos para el crecimiento y el desarrollo de América Latina,CONGRESOS Y CONVENCIONES,2020-02-03 00:00:00,2020-02-03 00:00:00
Upstream Planning Summit - UP,CONGRESOS Y CONVENCIONES,2020-05-03 00:00:00,2020-05-03 00:00:00
ISEV Workshop - EVs in Immunology,FERIAS Y EXPOSICIONES,2020-05-03 00:00:00,2020-06-03 00:00:00
Jornada Agenda de Género,CONGRESOS Y CONVENCIONES,2020-05-03 00:00:00,2020-05-03 00:00:00
Seminario Buques Sustentables para la Nueva Marina Mercante Nacional,CONGRESOS Y CONVENCIONES,2020-06-03 00:00:00,2020-06-03 00:00:00
Jornada de Ciberseguridad para Universidades,CONGRESOS Y CONVENCIONES,2020-06-03 00:00:00,2020-06-03 00:00:00
Mandinga Tattoo Show,FERIAS Y EXPOSICIONES,2020-06-03 00:00:00,2020-08-03 00:00:00
Encuentro de Mujeres de la Asociación de Fiscales,CONGRESOS Y CONVENCIONES,2020-06-03 00:00:00,2020-06-03 00:00:00
Expo Enlazarte,FERIAS Y EXPOSICIONES,2020-07-03 00:00:00,2020-07-03 00:00:00
Simposio Apertura Sociedad Argentina de Dermatología,CONGRESOS Y CONVENCIONES,2020-07-03 00:00:00,2020-07-03 00:00:00
XXXII Jornadas de Investigación del ILH,CONGRESOS Y CONVENCIONES,2020-09-03 00:00:00,2020-03-13 00:00:00
"IX Seminario Internacional para Consultores de Empresa Familiar
",CONGRESOS Y CONVENCIONES,2020-09-03 00:00:00,2020-11-03 00:00:00
XVII Escuela Complutense Latinoamericana ECL,CONGRESOS Y CONVENCIONES,2020-09-03 00:00:00,2020-03-20 00:00:00
Jornadas Acciones del Plan de Desarrollo Económico e Innovación Social,CONGRESOS Y CONVENCIONES,2020-10-03 00:00:00,2020-03-13 00:00:00
Palermo Open Moda,CONGRESOS Y CONVENCIONES,2020-10-03 00:00:00,2020-03-13 00:00:00
"I Jornadas Nacionales Espacios, Afectos y Nuevas Formas de lo Cotidiano",CONGRESOS Y CONVENCIONES,2020-11-03 00:00:00,2020-03-13 00:00:00
Expo Cafira edición XXVII,FERIAS Y EXPOSICIONES,2020-11-03 00:00:00,2020-03-14 00:00:00
ACC Argentina Compliance Summit,CONGRESOS Y CONVENCIONES,2020-12-03 00:00:00,2020-12-03 00:00:00
Baires Joyas y Relojes BAJR 2020,FERIAS Y EXPOSICIONES,2020-12-03 00:00:00,2020-03-14 00:00:00
Encuentro de Comercialización Turística de AVIABUE - ECTU,FERIAS Y EXPOSICIONES,2020-12-03 00:00:00,2020-12-03 00:00:00
1° Foro de Actualización Tributaria,CONGRESOS Y CONVENCIONES,2020-12-03 00:00:00,2020-12-03 00:00:00
Conferencia Técnica Pruebas de Estrés con la Gestión de Riesgos,CONGRESOS Y CONVENCIONES,2020-12-03 00:00:00,2020-12-03 00:00:00
"XXX Jornadas de Actualizaciónes Terapéuticas, Dermatológicas y Estéticas XXV Reunión Internacional de Terapéutica Dermatológica V Curso CARA Básico y Avanzado XXII Encuentro Latinoamericano de médicos residentes V Ateneo Terapéutico Interhospitalario Curso Bioseguridad Láser I Curso internacional de Láser y Aparatología de dermoestética",CONGRESOS Y CONVENCIONES,2020-03-13 00:00:00,2020-03-15 00:00:00
Jornada Científica de la Sociedad Argentina de Hematología,CONGRESOS Y CONVENCIONES,2020-03-13 00:00:00,2020-03-13 00:00:00
WIDS Bs As Global Women in Data Science Conference Conferencia Global de Mujeres en Ciencia de Datos,CONGRESOS Y CONVENCIONES,2020-03-13 00:00:00,2020-03-13 00:00:00
