año;sector;subsector;valor;;;;;;;;;;;;;;;;;;;;;;
2021;Residuos;Residuos sólidos generados en la ciudad; 1.598.751 ;;;;;;;;;;;;;;;;;;;;;;
2022;Residuos;Residuos sólidos generados en la Ciudad; 1.524.867 ;;;;;;;;;;;;;;;;;;;;;;
2023;Residuos;Residuos sólidos generados en la Ciudad; 1.463.246 ;;;;;;;;;;;;;;;;;;;;;;
2000;Transporte;Transporte Carretero; 3.292.812 ;;;;;;;;;;;;;;;;;;;;;;
2001;Transporte;Transporte Carretero; 3.420.532 ;;;;;;;;;;;;;;;;;;;;;;
2002;Transporte;Transporte Carretero; 3.319.500 ;;;;;;;;;;;;;;;;;;;;;;
2003;Transporte;Transporte Carretero; 3.406.032 ;;;;;;;;;;;;;;;;;;;;;;
2004;Transporte;Transporte Carretero; 3.369.427 ;;;;;;;;;;;;;;;;;;;;;;
2005;Transporte;Transporte Carretero; 3.269.675 ;;;;;;;;;;;;;;;;;;;;;;
2006;Transporte;Transporte Carretero; 3.127.802 ;;;;;;;;;;;;;;;;;;;;;;
2007;Transporte;Transporte Carretero; 3.374.759 ;;;;;;;;;;;;;;;;;;;;;;
2008;Transporte;Transporte Carretero; 3.447.880 ;;;;;;;;;;;;;;;;;;;;;;
2009;Transporte;Transporte Carretero; 3.419.034 ;;;;;;;;;;;;;;;;;;;;;;
2010;Transporte;Transporte Carretero; 3.406.060 ;;;;;;;;;;;;;;;;;;;;;;
2011;Transporte;Transporte Carretero; 3.356.496 ;;;;;;;;;;;;;;;;;;;;;;
2012;Transporte;Transporte Carretero; 3.446.391 ;;;;;;;;;;;;;;;;;;;;;;
2013;Transporte;Transporte Carretero; 3.734.408 ;;;;;;;;;;;;;;;;;;;;;;
2014;Transporte;Transporte Carretero; 3.366.281 ;;;;;;;;;;;;;;;;;;;;;;
2015;Transporte;Transporte Carretero; 3.378.921 ;;;;;;;;;;;;;;;;;;;;;;
2016;Transporte;Transporte Carretero; 3.457.223 ;;;;;;;;;;;;;;;;;;;;;;
2017;Transporte;Transporte Carretero; 3.384.463 ;;;;;;;;;;;;;;;;;;;;;;
2018;Transporte;Transporte Carretero; 3.387.292 ;;;;;;;;;;;;;;;;;;;;;;
2019;Transporte;Transporte Carretero; 3.365.488 ;;;;;;;;;;;;;;;;;;;;;;
2020;Transporte;Transporte Carretero; 2.386.986 ;;;;;;;;;;;;;;;;;;;;;;
2021;Transporte;Transporte Carretero; 2.786.059 ;;;;;;;;;;;;;;;;;;;;;;
2022;Transporte;Transporte Carretero; 3.091.603 ;;;;;;;;;;;;;;;;;;;;;;
2023;Transporte;Transporte Carretero; 3.334.964 ;;;;;;;;;;;;;;;;;;;;;;
2000;Transporte;Trenes y subtes; 66.930 ;;;;;;;;;;;;;;;;;;;;;;
2001;Transporte;Trenes y subtes; 51.968 ;;;;;;;;;;;;;;;;;;;;;;
2002;Transporte;Trenes y subtes; 49.040 ;;;;;;;;;;;;;;;;;;;;;;
2003;Transporte;Trenes y subtes; 50.391 ;;;;;;;;;;;;;;;;;;;;;;
2004;Transporte;Trenes y subtes; 68.448 ;;;;;;;;;;;;;;;;;;;;;;
2005;Transporte;Trenes y subtes; 74.791 ;;;;;;;;;;;;;;;;;;;;;;
2006;Transporte;Trenes y subtes; 67.599 ;;;;;;;;;;;;;;;;;;;;;;
2007;Transporte;Trenes y subtes; 94.350 ;;;;;;;;;;;;;;;;;;;;;;
